number;panSizeRange.min;panSizeRange.max;funding;product.id;product.name;product.image.url;product.image.width;product.image.height;product.image.mimeType;product.url;issuer.code;issuer.name;country;isInternational;regexp;isCompany;isToken;is3DS;brand.id;brand.name;brand.image.url;brand.image.width;brand.image.height;brand.image.mimeType;brand.url;allowedCaptures;usages;network.id;network.name;network.image.url;network.image.width;network.image.height;network.image.mimeType;network.url;metadata.image.url;metadata.image.width;metadata.image.height;metadata.image.mimeType;metadata.backgroundColor;metadata.foregroundColor;metadata.issuer;metadata.brand;metadata.product;services
"509197";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509197$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509198";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509198$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509201";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509201$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509202";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509202$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509203";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509203$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509204";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509204$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509205";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509205$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509207";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509207$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509208";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509208$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509209";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509209$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
